precio,baños,habitabiones,metros_construidos,estrato
700000000,5.0,5.0,350.0,5.0
390000000,2.0,3.0,72.0,3.0
4000000000,,12.0,218.0,
3200000000,6.0,7.0,,5.0
189000000,3.0,3.0,156.0,3.0
14000000000,5.0,5.0,850.0,6.0
1200000000,3.0,3.0,209.0,5.0
1200000000,4.0,6.0,210.0,5.0
700000000,6.0,7.0,300.0,4.0
960000000,3.0,3.0,,
7000000000,2.0,13.0,630.0,5.0
580000000,4.0,3.0,224.0,4.0
8366511027,4.0,4.0,452.0,4.0
1600000000,2.0,4.0,385.0,6.0
450000000,3.0,4.0,115.0,4.0
220000000,2.0,4.0,170.0,3.0
280000000,3.0,7.0,144.0,3.0
230000000,2.0,5.0,168.0,3.0
489000000,6.0,4.0,240.0,4.0
835000000,2.0,4.0,394.0,4.0
180000000,2.0,6.0,,2.0
490000000,3.0,4.0,200.0,3.0
1650000000,3.0,8.0,302.0,5.0
3600000000,,6.0,298.0,5.0
720000000,4.0,4.0,337.0,3.0
2100000000,3.0,3.0,535.0,
500000000,4.0,3.0,378.0,5.0
2500000000,5.0,5.0,140.0,3.0
300000000,2.0,2.0,140.0,3.0
250000000,2.0,3.0,130.0,3.0
215000000,2.0,3.0,,3.0
950000000,4.0,5.0,150.0,3.0
5000000000,,4.0,250.0,6.0
480000000,3.0,2.0,140.0,3.0
1100000000,3.0,4.0,220.0,6.0
8000000000,,10.0,500.0,6.0
330000000,2.0,3.0,240.0,5.0
930000000,4.0,4.0,147.0,6.0
455000000,,4.0,101.0,3.0
175000000,2.0,3.0,72.0,3.0
250000000,2.0,4.0,120.0,3.0
5200000000,,9.0,350.0,5.0
1340000000,3.0,5.0,400.0,3.0
300000000,4.0,8.0,150.0,3.0
3900000000,5.0,5.0,506.0,5.0
1100000000,4.0,4.0,154.0,2.0
1400000000,6.0,8.0,350.0,4.0
6000000000,3.0,5.0,800.0,5.0
550000000,3.0,4.0,311.0,6.0
850000000,3.0,3.0,200.0,5.0
650000000,4.0,4.0,186.0,
7569700453,8.0,7.0,803.0,5.0
1500000000,5.0,5.0,115.0,
19000000000,9.0,20.0,2384.0,5.0
1400000000,4.0,5.0,370.0,5.0
5500000000,,12.0,458.0,5.0
1550000000,4.0,4.0,300.0,6.0
350000000,4.0,5.0,172.0,4.0
230000000,3.0,3.0,120.0,3.0
5500000000,6.0,5.0,584.0,6.0
1800000000,4.0,5.0,402.0,5.0
468000000,3.0,5.0,186.0,
1050000000,2.0,4.0,47679.0,3.0
2250000000,4.0,4.0,600.0,6.0
1247000000,9.0,9.0,621.0,3.0
8000000000,,10.0,500.0,5.0
13600000000,6.0,7.0,440.0,5.0
1500000000,3.0,3.0,135.0,6.0
280000000,2.0,3.0,226.0,3.0
1350000000,3.0,4.0,328.0,6.0
400000000,2.0,4.0,131.0,3.0
1550000000,3.0,4.0,400.0,5.0
250000000,,3.0,84.0,3.0
1500000000,4.0,4.0,240.0,6.0
8000000000,,10.0,550.0,5.0
1650000000,3.0,4.0,460.0,3.0
680000000,3.0,3.0,179.0,6.0
2800000000,5.0,5.0,420.0,6.0
290000000,3.0,4.0,200.0,3.0
3900000000,9.0,12.0,459.0,3.0
2750000000,6.0,4.0,270.0,6.0
430000000,3.0,3.0,216.0,3.0
890000000,5.0,2.0,300.0,
130000000,,3.0,55.0,2.0
450000000,3.0,3.0,163.0,3.0
7990000000,6.0,9.0,712.0,
220000000,2.0,3.0,130.0,3.0
200000000,2.0,3.0,72.0,4.0
1200000000,3.0,4.0,320.0,4.0
280000000,2.0,5.0,196.0,3.0
2500000000,3.0,3.0,400.0,6.0
330000000,3.0,3.0,120.0,4.0
460000000,3.0,5.0,200.0,3.0
3800000000,5.0,5.0,500.0,6.0
2498800000,5.0,5.0,490.0,5.0
1526000000,2.0,4.0,383.0,
370000000,2.0,3.0,250.0,3.0
600000000,6.0,10.0,420.0,3.0
954000000,2.0,3.0,447.0,
14740995619,6.0,5.0,865.0,6.0
445000000,4.0,5.0,200.0,3.0
700000000,4.0,4.0,205.0,4.0
580000000,,11.0,230.0,3.0
12000000000,5.0,7.0,840.0,2.0
1814000000,3.0,5.0,,5.0
165000000,,3.0,90.0,3.0
225000000,3.0,3.0,118.0,
317000000,2.0,3.0,103.0,4.0
800000000,3.0,3.0,175.0,6.0
400000000,5.0,3.0,150.0,4.0
2500000000,4.0,4.0,420.0,5.0
550000000,2.0,3.0,112.0,
2800000000,5.0,15.0,425.0,5.0
480000000,3.0,4.0,220.0,5.0
550000000,4.0,6.0,281.0,3.0
330000000,4.0,3.0,209.0,3.0
2800000000,5.0,10.0,480.0,5.0
4531250000,5.0,8.0,625.0,5.0
1800000000,5.0,6.0,320.0,5.0
580000000,3.0,3.0,226.0,
414624000,2.0,2.0,240.0,
1000000000,3.0,18.0,427.0,5.0
1,,,,
970000000,3.0,3.0,270.0,2.0
1270000000,3.0,3.0,450.0,6.0
3700000000,5.0,4.0,,6.0
360000000,3.0,4.0,,
240000000,2.0,3.0,100.0,3.0
2000000000,2.0,5.0,786.0,
400000000,,3.0,100.0,2.0
2300000000,4.0,5.0,380.0,6.0
12000000000,,,288.0,4.0
